PublishedAt,VADER_Negative,VADER_Neutral,VADER_Positive
2025-01-02 13:59:47,0.026,0.963,0.011
2025-01-01 12:22:02,0.025,0.975,0.0
2025-01-02 17:03:21,0.034,0.663,0.303
2025-01-02 20:10:30,0.105,0.785,0.11
2025-01-02 14:26:00,0.034,0.709,0.257
2025-01-02 10:26:39,0.043,0.717,0.241
2025-01-01 16:04:00,0.092,0.781,0.127
2025-01-01 17:37:40,0.038,0.818,0.143
2024-12-19 07:51:49,0.097,0.903,0.0
2024-12-14 01:57:26,0.097,0.776,0.128
2024-12-04 11:19:28,0.034,0.753,0.213
2024-12-14 06:00:00,0.054,0.804,0.142
2024-12-13 17:36:52,0.126,0.874,0.0
2024-12-29 09:30:00,0.071,0.841,0.088
2024-12-03 13:45:39,0.047,0.716,0.237
2024-12-04 11:00:01,0.038,0.749,0.213
2024-12-26 07:26:00,0.027,0.775,0.198
2024-12-19 14:15:42,0.067,0.852,0.082
2024-12-30 21:02:29,0.027,0.719,0.255
2024-12-23 19:09:02,0.0,0.88,0.12
2024-12-02 07:40:43,0.039,0.741,0.221
2024-12-11 16:04:16,0.154,0.846,0.0
2024-12-26 06:00:00,0.032,0.826,0.141
2024-12-14 03:58:16,0.008,0.97,0.022
2024-12-02 10:15:17,0.129,0.86,0.01
2024-12-31 06:01:00,0.065,0.752,0.183
2024-12-13 13:00:02,0.059,0.789,0.152
2024-12-10 08:49:25,0.105,0.895,0.0
2024-12-24 08:00:00,0.027,0.731,0.242
2024-12-11 19:32:49,0.042,0.796,0.162
2024-12-01 00:00:01,0.097,0.735,0.168
2024-12-10 14:21:01,0.013,0.734,0.253
2024-12-10 08:03:41,0.107,0.874,0.018
2024-12-17 22:29:31,0.254,0.722,0.024
2024-12-19 10:01:37,0.079,0.736,0.186
2024-12-03 21:05:47,0.026,0.912,0.062
2024-12-31 10:48:56,0.061,0.772,0.167
2024-12-05 16:57:29,0.069,0.887,0.044
2024-12-18 14:33:07,0.11,0.737,0.153
2024-12-29 10:09:37,0.079,0.67,0.251
