Unnamed: 0,title,url,time_published,authors,summary,banner_image,source,category_within_source,source_domain,topics,overall_sentiment_score,overall_sentiment_label,ticker_sentiment
27.0,Apple's Stock Has Reached Historic Levels in One Metric. It's a Clear Warning Sign for 2025.,https://www.fool.com/investing/2024/12/31/apples-stock-has-reached-historic-levels-in-one-me/,2024-12-31 11:30:00,['Keithen Drury'],"Watching companies set individual records on revenue or earnings is always a great sign for investors, as it indicates the company is reaching new heights. However, there are also some metrics you don't want to see companies setting new records in, like debt or valuation.Apple ( NASDAQ: AAPL ) ...",https://media.ycharts.com/charts/0c91c541a144a05d063cc1ca25b0ed99.png,Motley Fool,,www.fool.com,"[{'topic': 'Earnings', 'relevance_score': '0.999696'}, {'topic': 'Technology', 'relevance_score': '1.0'}, {'topic': 'Financial Markets', 'relevance_score': '0.54554'}]",0.067332,Neutral,"[{'ticker': 'AAPL', 'relevance_score': '0.77735', 'ticker_sentiment_score': '0.174596', 'ticker_sentiment_label': 'Somewhat-Bullish'}]"
28.0,"Stock Market News for Dec 31, 2024",https://www.zacks.com/stock/news/2389767/stock-market-news-for-dec-31-2024,2024-12-31 09:34:00,['Zacks Equity Research'],U.S. stock markets closed sharply lower on Monday as investors are increasingly booking profits toward the end of an impressive 2024.,https://staticx-tuner.zacks.com/images/articles/main/23/489.jpg,Zacks Commentary,,www.zacks.com,"[{'topic': 'Economy - Monetary', 'relevance_score': '0.769861'}, {'topic': 'Financial Markets', 'relevance_score': '0.94762'}, {'topic': 'Manufacturing', 'relevance_score': '0.5'}, {'topic': 'Technology', 'relevance_score': '0.5'}]",-0.130739,Neutral,"[{'ticker': 'META', 'relevance_score': '0.137278', 'ticker_sentiment_score': '0.067402', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'AAPL', 'relevance_score': '0.137278', 'ticker_sentiment_score': '0.067402', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'TSLA', 'relevance_score': '0.204647', 'ticker_sentiment_score': '0.088397', 'ticker_sentiment_label': 'Neutral'}]"
29.0,"Jensen Huang's Nvidia 'Printing Money Like Apple' In Early iPhone Days, Says Tesla Bull Ross Gerber - NVIDIA  ( NASDAQ:NVDA ) ",https://www.benzinga.com/analyst-ratings/analyst-color/24/12/42736753/jensen-huangs-nvidia-printing-money-like-apple-in-early-iphone-days-says-tesla-bull,2024-12-31 08:40:41,['Pooja Rajkumari'],"Nvidia Corp. NVDA is on the cusp of a significant growth phase, fueled by its leadership in AI infrastructure. What Happened: Investor Ross Gerber compared Jensen Huang's chip giant current financial trajectory to Apple Inc.",https://cdn.benzinga.com/files/images/story/2024/12/31/Nvidia-CEO-Jensen-Huang.jpeg?width=1200&height=800&fit=crop,Benzinga,General,www.benzinga.com,"[{'topic': 'Technology', 'relevance_score': '0.5'}, {'topic': 'Financial Markets', 'relevance_score': '0.413559'}, {'topic': 'Manufacturing', 'relevance_score': '0.5'}]",0.253836,Somewhat-Bullish,"[{'ticker': 'AMD', 'relevance_score': '0.093653', 'ticker_sentiment_score': '0.066556', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'IBIDF', 'relevance_score': '0.093653', 'ticker_sentiment_score': '0.049783', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'NVDA', 'relevance_score': '0.653386', 'ticker_sentiment_score': '0.382592', 'ticker_sentiment_label': 'Bullish'}, {'ticker': 'AAPL', 'relevance_score': '0.362065', 'ticker_sentiment_score': '0.147293', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'TSLA', 'relevance_score': '0.18602', 'ticker_sentiment_score': '0.317274', 'ticker_sentiment_label': 'Somewhat-Bullish'}]"
30.0,MagSafe Won't Be Phased Out By EU's New Directive: Here's Why MacBook Users Have Nothing To Worry About - Sony Gr  ( NYSE:SONY ) ,https://www.benzinga.com/24/12/42736387/eu-usb-c-directive-kicks-in-what-it-means-for-you-your-devices-and-the-planet,2024-12-31 07:57:25,['Ananya Gairola'],"The EU's USB-C directive has officially come into force, mandating a universal charging port for electronic devices. What Happened: The directive, effective from 2025, requires mobile phones to feature a USB-C port. All 27 EU member states had until Dec. 28 to incorporate this directive into ...",https://cdn.benzinga.com/files/images/story/2024/12/31/USB-C.jpeg?width=1200&height=800&fit=crop,Benzinga,News,www.benzinga.com,"[{'topic': 'Technology', 'relevance_score': '1.0'}]",0.145446,Neutral,"[{'ticker': 'SNEJF', 'relevance_score': '0.206685', 'ticker_sentiment_score': '0.235517', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'AAPL', 'relevance_score': '0.399734', 'ticker_sentiment_score': '0.074199', 'ticker_sentiment_label': 'Neutral'}]"
31.0,iPhone 17 To Get Display Upgrade As Apple Finally Ditches 60Hz Technology? New Leak Reiterates Possibility - Apple  ( NASDAQ:AAPL ) ,https://www.benzinga.com/tech/24/12/42736353/iphone-17-to-get-display-upgrade-as-apple-finally-ditches-60hz-technology-new-leak-reiterates-possibility,2024-12-31 07:48:14,['Ananya Gairola'],"A new leak reiterates that Apple Inc. AAPL is reportedly set to improve the display technology in its upcoming iPhone 17 series. What Happened: Over the weekend, Weibo-based Chinese leaker Digital Chat Station said that supply chain materials support the rumors of a higher refresh rate for the ...",https://editorial-assets.benzinga.com/wp-content/uploads/2024/12/31010935/Screenshot-2024-12-31-at-11.39.28%E2%80%AFAM-1024x465.png,Benzinga,News,www.benzinga.com,"[{'topic': 'Technology', 'relevance_score': '1.0'}]",0.215682,Somewhat-Bullish,"[{'ticker': 'AAPL', 'relevance_score': '0.238133', 'ticker_sentiment_score': '0.037855', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'WB', 'relevance_score': '0.120431', 'ticker_sentiment_score': '0.097287', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'FOREX:AMD', 'relevance_score': '0.120431', 'ticker_sentiment_score': '0.120743', 'ticker_sentiment_label': 'Neutral'}]"
32.0,"Palantir, Salesforce, And Snowflake Made The Cut, But 2 'Magnificent 7' Giants Left Out From Dan Ives' Top 10 Tech Winners For The AI Revolution In 2025 List - Apple  ( NASDAQ:AAPL ) , Amazon.com  ( NASDAQ:AMZN ) ",https://www.benzinga.com/24/12/42735573/two-magnificent-7-giants-snubbed-in-dan-ives-top-10-tech-winners-for-the-ai-revolution-into-2025-but-palantir-sal,2024-12-31 03:43:45,['Ananya Gairola'],"On Monday, Wedbush analyst Dan Ives unveiled his top 10 tech winners for the AI revolution into 2025, leaving two major Magnificent 7 players notably absent from the list. What Happened: In his post, Ives said that the companies are poised to ride the wave of a $2 trillion AI capital expenditure ...",https://cdn.benzinga.com/files/images/story/2024/12/30/Magnificent-Seven.jpeg?width=1200&height=800&fit=crop,Benzinga,Markets,www.benzinga.com,"[{'topic': 'Retail & Wholesale', 'relevance_score': '0.333333'}, {'topic': 'Financial Markets', 'relevance_score': '0.538269'}, {'topic': 'Manufacturing', 'relevance_score': '0.333333'}, {'topic': 'Technology', 'relevance_score': '0.333333'}]",0.329768,Somewhat-Bullish,"[{'ticker': 'MSFT', 'relevance_score': '0.265859', 'ticker_sentiment_score': '0.223704', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'GOOG', 'relevance_score': '0.265859', 'ticker_sentiment_score': '0.223704', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'META', 'relevance_score': '0.179121', 'ticker_sentiment_score': '0.153386', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'NVDA', 'relevance_score': '0.349329', 'ticker_sentiment_score': '0.311672', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'AAPL', 'relevance_score': '0.349329', 'ticker_sentiment_score': '0.481748', 'ticker_sentiment_label': 'Bullish'}, {'ticker': 'TSLA', 'relevance_score': '0.349329', 'ticker_sentiment_score': '0.22705', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'SNOW', 'relevance_score': '0.179121', 'ticker_sentiment_score': '0.183929', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'MDB', 'relevance_score': '0.179121', 'ticker_sentiment_score': '0.183929', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'PEGA', 'relevance_score': '0.179121', 'ticker_sentiment_score': '0.183929', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'AMZN', 'relevance_score': '0.179121', 'ticker_sentiment_score': '0.198815', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'PLTR', 'relevance_score': '0.179121', 'ticker_sentiment_score': '0.183929', 'ticker_sentiment_label': 'Somewhat-Bullish'}]"
33.0,"Dow Jones 2024 Scoreboard: Top 5 Winners, Losers - And How Amazon, Nvidia Could Reshape 2025 - SPDR Dow Jones Industrial Average ETF  ( ARCA:DIA ) ",https://www.benzinga.com/etfs/broad-u-s-equity-etfs/24/12/42726598/dow-jones-2024-scoreboard-top-5-winners-losers-and-how-amazon-nvidia-could-reshape-202,2024-12-30 17:48:46,['Chris Katje'],"The Dow Jones Industrial Average hit an all-time high of over 45,000 points in December, one of several stock market indexes to hit records after Donald Trump won the 2024 presidential election.",https://cdn.benzinga.com/files/images/story/2024/12/30/trader-ai7.png?width=1200&height=800&fit=crop,Benzinga,Trading,www.benzinga.com,"[{'topic': 'Life Sciences', 'relevance_score': '0.25'}, {'topic': 'Retail & Wholesale', 'relevance_score': '0.25'}, {'topic': 'Financial Markets', 'relevance_score': '0.967645'}, {'topic': 'Manufacturing', 'relevance_score': '0.25'}, {'topic': 'Technology', 'relevance_score': '0.25'}]",0.076114,Neutral,"[{'ticker': 'MSFT', 'relevance_score': '0.13347', 'ticker_sentiment_score': '0.129756', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'NVDA', 'relevance_score': '0.263231', 'ticker_sentiment_score': '0.111535', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'AAPL', 'relevance_score': '0.13347', 'ticker_sentiment_score': '0.109409', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'SHW', 'relevance_score': '0.199037', 'ticker_sentiment_score': '0.050694', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'INTC', 'relevance_score': '0.199037', 'ticker_sentiment_score': '-0.211106', 'ticker_sentiment_label': 'Somewhat-Bearish'}, {'ticker': 'DOW', 'relevance_score': '0.13347', 'ticker_sentiment_score': '0.104625', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'AMZN', 'relevance_score': '0.199037', 'ticker_sentiment_score': '0.089238', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'BA', 'relevance_score': '0.06697', 'ticker_sentiment_score': '-0.066391', 'ticker_sentiment_label': 'Neutral'}]"
34.0,Wall Street Stories of 2024 Likely to Stay Hot in 2025: Key Picks,https://www.zacks.com/stock/news/2389552/wall-street-stories-of-2024-likely-to-stay-hot-in-2025-key-picks,2024-12-30 16:24:00,['Sweta Killa'],"Here, we discuss some top Wall Street events of 2024 that are expected to have an impact in 2025 as well.",https://staticx-tuner.zacks.com/images/articles/main/91/69871.jpg,Zacks Commentary,,www.zacks.com,"[{'topic': 'Energy & Transportation', 'relevance_score': '0.2'}, {'topic': 'Technology', 'relevance_score': '0.2'}, {'topic': 'Finance', 'relevance_score': '0.2'}, {'topic': 'Blockchain', 'relevance_score': '0.576289'}, {'topic': 'Economy - Monetary', 'relevance_score': '0.451494'}, {'topic': 'Retail & Wholesale', 'relevance_score': '0.2'}, {'topic': 'Financial Markets', 'relevance_score': '0.99393'}, {'topic': 'Manufacturing', 'relevance_score': '0.2'}, {'topic': 'Earnings', 'relevance_score': '0.769861'}]",0.31216,Somewhat-Bullish,"[{'ticker': 'GOOG', 'relevance_score': '0.036255', 'ticker_sentiment_score': '0.053615', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'META', 'relevance_score': '0.072435', 'ticker_sentiment_score': '0.15927', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'NVDA', 'relevance_score': '0.072435', 'ticker_sentiment_score': '0.15927', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'AAPL', 'relevance_score': '0.072435', 'ticker_sentiment_score': '0.15927', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'TSLA', 'relevance_score': '0.072435', 'ticker_sentiment_score': '0.15927', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'HLI', 'relevance_score': '0.108466', 'ticker_sentiment_score': '0.150338', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'VST', 'relevance_score': '0.072435', 'ticker_sentiment_score': '0.15927', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'AMZN', 'relevance_score': '0.072435', 'ticker_sentiment_score': '0.15927', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'COIN', 'relevance_score': '0.108466', 'ticker_sentiment_score': '0.147655', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'GME', 'relevance_score': '0.108466', 'ticker_sentiment_score': '0.143062', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'CRYPTO:BTC', 'relevance_score': '0.036255', 'ticker_sentiment_score': '0.131936', 'ticker_sentiment_label': 'Neutral'}]"
35.0,Here's Why You Should Stay Away From RCI Stock Entering Into 2025,https://www.zacks.com/stock/news/2389545/heres-why-you-should-stay-away-from-rci-stock-entering-into-2025,2024-12-30 16:14:00,['Zacks Equity Research'],"Roger Communications is suffering due to intense competition, declining cable revenues and shifting consumer trends, which are impacting its market position.",https://staticx-tuner.zacks.com/images/articles/main/13/203.jpg,Zacks Commentary,,www.zacks.com,"[{'topic': 'Earnings', 'relevance_score': '0.614606'}, {'topic': 'Technology', 'relevance_score': '1.0'}, {'topic': 'Financial Markets', 'relevance_score': '0.538269'}]",0.116004,Neutral,"[{'ticker': 'NFLX', 'relevance_score': '0.153961', 'ticker_sentiment_score': '0.055685', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'AAPL', 'relevance_score': '0.153961', 'ticker_sentiment_score': '0.055685', 'ticker_sentiment_label': 'Neutral'}]"
36.0,"Industry Comparison: Evaluating Apple Against Competitors In Technology Hardware, Storage & Peripherals Industry - Apple  ( NASDAQ:AAPL ) ",https://www.benzinga.com/insights/news/24/12/42723505/industry-comparison-evaluating-apple-against-competitors-in-technology-hardware-storage-amp-periphe,2024-12-30 16:00:34,['Benzinga Insights'],"In the fast-paced and highly competitive business world of today, conducting thorough company analysis is essential for investors and industry observers. In this article, we will conduct an extensive industry comparison, evaluating Apple AAPL in relation to its major competitors in the Technology ...",https://www.benzinga.com/files/images/story/2024/1735570831_0.png,Benzinga,Trading,www.benzinga.com,"[{'topic': 'Earnings', 'relevance_score': '0.875462'}, {'topic': 'Technology', 'relevance_score': '1.0'}, {'topic': 'Financial Markets', 'relevance_score': '0.503496'}]",0.252398,Somewhat-Bullish,"[{'ticker': 'AAPL', 'relevance_score': '0.462743', 'ticker_sentiment_score': '0.291715', 'ticker_sentiment_label': 'Somewhat-Bullish'}]"
